DialogID,VoiceID,SpeakerId,Action,TextContent
Test1,101,,ChangeBackground,BG_forest
Test1,1001,,DialogStart,
Test1,10,Test1,CharacterIn,
Test1,11,Test2,CharacterIn,
Test1,14,Test3,CharacterIn,
Test1,Hello,Test1,WithVoice,HelloHelloHelloHelloHelloHello
Test1,Listen,Test3,WithVoice,ListenListenListenListenListenListenListen
Test1,102,,ChangeBackground,BG_city
Test1,Hey,Test2,WithVoice,HeyHeyHeyHeyHeyHeyHeyHey
Test1,12,,NoVoice,...
Test1,15,,PlaySfx,LinkHit
Test1,13,Test2,CharacterOut,
Test2,20,Test1,CharacterIn,
Test2,21,Test2,CharacterIn,
Test2,Hey,Test2,WithVoice,Hey
Test2,Look,Test1,WithVoice,Look
Test2,Look,Test2,WithVoice,Look
Test2,22,Test1,NoVoice,...
Prologue,0,,ChangeBackground,BG_black
Prologue,0,,DialogStart,
Prologue,0,,NoVoice,크로노멘더스
Prologue,0,,NoVoice,풍부한 자원을 바탕으로 다양한 종족이 공존하던 세계.
Prologue,0,,NoVoice,엘프는 숲을 가꾸었고. 인간은 도시를 세웠으며. 드워프는 산맥 아래에서 땅의 숨결을 읽었다.
Prologue,0,,NoVoice,다양한 종족들은 공존을 통해 평화롭고 안정된 모습으로 지내고있었다.
Prologue,0,,NoVoice,그러던 어느날. 설명할 수 없는 균열이 세계 곳곳 발생했다.
Prologue,0,,NoVoice,숲은 한순간에 불바다로 변했고. 도시는 무너지고. 잔해들이 공중에 뜨기 시작했다.
Prologue,0,,NoVoice,시간이 멈춘듯 죽어야할 존재가 죽지못하고. 태어나야할 생명이 태어나지 못했으며. 과거 멸종한 생명체들이 다시 돌아다니기 시작했다.
Prologue,0,,NoVoice,평화롭던 세상은 한순간에 낯선 세상으로 변했고. 일상은 무너지기 시작했다.
Prologue,0,,NoVoice,이러한 현상과 동시에 선택받은 존재들이 나타나기 시작한다.
Prologue,0,,NoVoice,이들은 시간을 되감아 과거로 갈 수 있는 존재.
Prologue,0,,NoVoice,그 존재들은 이러한 현상을 해결하기위해 모험을 떠난다.
Prologue,0,,NoVoice,이 이야기는 무너진 세상을 원래대로 되돌리기위한 탐험가의 이야기다.
Scene1,0,,ChangeBackground,BG_village
Scene1,0,,DialogStart,
Scene1,0,리젠,CharacterIn,
Scene1,ad01,리젠,WithVoice,으음 지금쯤 온다 했던거 같은데
Scene1,0,루미아,CharacterIn,
Scene1,ad02,루미아,WithVoice,조금만 더 기다려봐. 아무래도 길이 어려울 수 있으니
Scene1,0,브루가,CharacterIn,
Scene1,ad03,브루가,WithVoice,그래 너무 성급하게 굴지 말자고
Scene1,ad04,리젠,WithVoice,하지만 빨리 숲의 이변을 처리하지 않으면..
Scene1,0,,NoVoice,멀리서 발걸음 소리가 들려오며. 사람의 형체가 다가온다.
Scene1,ad05,리젠,WithVoice,드디어 도착한 모양이네
Scene1,ad06,리젠,WithVoice,당신이 오늘 오기로 한 탐험가 맞지?
Scene1,ad07,브루가,WithVoice,흠… 분위기는 나쁘지 않아 보여. 최소한 겁먹은 얼굴은 아니군.
Scene1,ad08,탐험가,WithVoice,또 다른 탐험가가 오기로되어있는게 아니라면. 내가 맞을거야
Scene1,ad09,루미아,WithVoice,아무래도 맞는거같네. 그럼 지금 상황 설명을 부탁할게
Scene1,ad10,리젠,WithVoice,음... 그래
Scene1,ad11,리젠,WithVoice,지금은 많이 무너졌지만. 여긴 우리 마을이야. 마을 주민은 우리를 포함해 몇십명이 다지만. 우리 3명은 이 마을을 이상현상으로부터 지키고있어.
Scene1,ad12,리젠,WithVoice,그러던 중 탐험가가 여기로 온다는 소식을 듣고 기다리고있었지. 요 앞 숲에서 이상한 존재가 계속 마을을 공격해오고 있었으니까
