id,name,rareity,role,baseHP,baseAttack,baseMagicAttack,baseDefense,baseAttackSpeed,baseCritRate,baseCritDamage,attackRange,attackType
0,Assassin,4,Dealer,120,22,18,5,1.3,0.1,2,0.4,Melee
1,Astroblaster,5,Dealer,120,22,18,5,1.3,0.2,1.5,1.5,Ranged
2,Bladedancer,2,Dealer,120,18,18,5,1.3,0.2,2,0.5,Melee
3,Bubblemaker,5,Healer,120,18,22,3,1,0.08,1.5,1.5,Ranged
4,Caster,3,Healer,120,18,22,3,1,0.08,1.5,1.5,Melee
5,Firecaster,5,Dealer,120,22,23,3,1,0.1,1.5,2,Lazer
6,Hammer,3,Tank,160,18,18,8,0.8,0.1,1.5,0.25,Melee
7,Hoodblaster,3,Dealer,120,22,18,5,1,0.1,1.5,1.5,Ranged
8,Knight,5,Tank,180,18,18,8,0.8,0.1,1.5,0.3,Melee
9,Lizard,1,Tank,160,18,18,8,0.8,0.1,1.5,0.3,Melee
10,Warrior,1,Dealer,120,22,18,5,1,0.1,1.5,0.4,Melee
11,Witch,1,Healer,150,18,22,3,1,0.08,1.5,1.2,Ranged
