id,name,rareity,role,baseHP,baseAttack,baseMagicAttack,baseDefense,baseAttackSpeed,baseCritRate,baseCritDamage,attackRange,attackType
0,Assassin,1,Tank,100,5,5,5,2,0.1,1.5,0.2,Melee
1,Astroblaster,2,Healer,100,5,5,5,3,0.1,1.5,1.5,Ranged
2,Bladedancer,3,Dealer,100,5,5,5,2,0.1,1.5,0.3,Melee
3,Bubblemaker,4,Dealer,100,5,5,5,3,0.1,1.5,1.5,Ranged
4,Caster,5,Healer,100,5,5,5,2,0.1,1.5,0.35,Melee
5,Firecaster,1,Tank,100,5,5,5,3,0.1,1.5,2,Lazer
6,Hammer,2,Tank,100,5,5,5,2,0.1,1.5,0.25,Melee
7,Hoodblaster,3,Dealer,100,5,5,5,3,0.1,1.5,1.5,Ranged
8,Knight,4,Tank,100,5,5,5,2,0.1,1.5,0.3,Melee
9,Lizard,5,Tank,100,5,5,5,3,0.1,1.5,0.3,Melee
10,Warrior,1,Tank,100,5,5,5,2,0.1,1.5,0.3,Melee
11,Witch,2,Healer,100,5,5,5,3,0.1,1.5,1.2,Ranged
